LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
66615-6,"Estimated or measured glomerular filtration rate less than 50 percent",Hx,Pt,^Patient,Ord,Reported,PHENX,2.65,TRIAL,2,,,,"Estimated or measured glomerular filtration rate less than 50 percent [Reported]",,2.38,false,"Estimated or measured glomerular filtration rate less than 50 percent:Hx:Pt:^Patient:Ord:Reported"
69406-7,"Adult GFR method",Type,Pt,Ser/Plas,Nom,,SURVEY.ESRD,2.73,TRIAL,4,,,,"Adult GFR method",,2.38,false,"Adult GFR method:Type:Pt:Ser/Plas:Nom:"
69407-5,"Pediatric GFR method",Type,Pt,Ser/Plas,Nom,,SURVEY.ESRD,2.42,TRIAL,4,,,,"Pediatric GFR method",,2.38,false,"Pediatric GFR method:Type:Pt:Ser/Plas:Nom:"
81604-1,"Views for glomerular filtration rate^W radionuclide IV",Find,Pt,Abdomen>Kidney,Doc,NM,RAD,2.64,ACTIVE,2,Both,,,"NM Kidney Views for glomerular filtration rate",,2.56,false,"Views for glomerular filtration rate^W radionuclide IV:Find:Pt:Abdomen>Kidney:Doc:NM"
76633-7,"Glomerular filtration rate",ArVRat,Pt,Bld,Qn,"Creatinine-based formula (MDRD)/1.73 sq M",CHEM,2.79,DISCOURAGED,1,Both,,"mL/min/1.73 sq m","Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD) in Blood",mL/min/{1.73_m2},2.52,false,"Glomerular filtration rate:ArVRat:Pt:Bld:Qn:Creatinine-based formula (MDRD)/1.73 sq M"
103542-7,"Tubular reabsorption of phosphorus/Glomerular filtration rate",MCnc,Pt,Urine+Ser/Plas,Qn,,CHEM,2.75,ACTIVE,1,Observation,,mg/dl,"Tubular reabsorption of phosphorus/Glomerular filtration rate [Mass/volume] in Urine and Serum or Plasma",mg/dL,2.75,false,"Tubular reabsorption of phosphorus/Glomerular filtration rate:MCnc:Pt:Urine+Ser/Plas:Qn:"
87430-5,"Cystatin C & Glomerular filtration rate by Cystatin C-based formula panel",-,Pt,Ser/Plas,-,,PANEL.CHEM,2.73,ACTIVE,1,Order,,,"Cystatin C and Glomerular filtration rate by Cystatin C-based formula panel - Serum or Plasma",,2.63,true,"Cystatin C & Glomerular filtration rate by Cystatin C-based formula panel:-:Pt:Ser/Plas:-:"
50383-9,"Glomerular filtration rate.predicted",VRat,Pt,Ser/Plas,Qn,"Creatinine-based formula (Schwartz)",CHEM,2.36,DEPRECATED,1,Both,,mL/min,"Deprecated Glomerular filtration rate/1.73 sq M.predicted in 24 hour by Creatinine-based formula (Schwartz)",mL/min,2.22,false,"Glomerular filtration rate.predicted:VRat:Pt:Ser/Plas:Qn:Creatinine-based formula (Schwartz)"
96591-3,"Glomerular filtration rate",ArVRat,Pt,Bld.dot,Qn,"based on 1.73 sq M among black population",CHEM,2.79,ACTIVE,1,Both,,"mL/min/1.73 sq m","Glomerular filtration rate [Volume Rate/Area] in DBS by based on 1.73 sq M among black population",mL/min/{1.73_m2},2.69,false,"Glomerular filtration rate:ArVRat:Pt:Bld.dot:Qn:based on 1.73 sq M among black population"
33914-3,"Glomerular filtration rate",ArVRat,Pt,Ser/Plas,Qn,"Creatinine-based formula (MDRD)/1.73 sq M",CHEM,2.79,DISCOURAGED,1,Both,,"mL/min; ml/min/1.73m2","Glomerular filtration rate [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD)/1.73 sq M",mL/min/{1.73_m2},2.09,false,"Glomerular filtration rate:ArVRat:Pt:Ser/Plas:Qn:Creatinine-based formula (MDRD)/1.73 sq M"
